web-scraper-order,web-scraper-start-url,title,title-href,author,rating,cat,pubdate,hits,comments,kudos
"1637204744-534","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=8","Demons","https://archiveofourown.org/works/31406624","orphan_account","Mature","M/M","2021-05-20","311","null","9"
"1637203468-423","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=14","The one that got away","https://archiveofourown.org/works/28115010","chelinda","General Audiences","F/F","2020-12-16","1110","5","68"
"1637203784-450","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=12","because it's you","https://archiveofourown.org/works/28846764","4RTHURKUN","Teen And Up Audiences","F/F","2021-01-19","1088","2","71"
"1637202410-332","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=18","A floor plan, but with feelings","https://archiveofourown.org/works/24177181","rudesunyoung","Teen And Up Audiences","F/F","2020-05-14","2279","16","78"
"1637203348-412","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=14","Blood Bound (Uri Duranki)","https://archiveofourown.org/works/27949178","Heyrrra","General Audiences","F/F","2020-12-08","1139","26","145"
"1637202489-337","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=18","Sanctuary","https://archiveofourown.org/works/24759493","jenniesays","Teen And Up Audiences","F/F","2020-06-16","1944","13","82"
"1637200962-205","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=25","Quick Sex","https://archiveofourown.org/works/19016269","zack0302","Explicit","F/F","2019-05-29","2664","6","31"
"1637201857-284","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=21","撒野","https://archiveofourown.org/works/22434478","lesyeuxdenini","Teen And Up Audiences","F/F","2020-01-27","8620","null","20"
"1637202793-364","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=17","sleepover","https://archiveofourown.org/works/26208823","rosiiecore","Explicit","F/F","2020-09-01","10097","null","155"
"1637203893-460","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=12","going once, going twice","https://archiveofourown.org/works/29278263","snowandwolves","Mature","F/F","2021-02-08","3359","65","265"
"1637200877-197","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=25","KOPP School:","https://archiveofourown.org/works/18558901","Auranna","General Audiences","F/F","2019-04-22","394","2","16"
"1637203105-391","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=15","Ain’t Nunya Bees","https://archiveofourown.org/works/27294502","sweet_melodies","Teen And Up Audiences","F/F","2020-10-31","4225","34","346"
"1637201729-272","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=21","look how things turned out","https://archiveofourown.org/works/21869776","jennie_writes","General Audiences","F/F","2019-12-20","915","3","61"
"1637201276-232","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=23","like the sweetener you are (to bring the bitter taste to a halt)","https://archiveofourown.org/works/19802014","lalalalisa_m","Teen And Up Audiences","F/F","2019-07-14","3350","71","249"
"1637199667-90","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=30","Deep //jenlisa//","https://archiveofourown.org/works/26511880","soberyouth","General Audiences","F/F","2017-10-20","160","null","9"
"1637204200-486","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=10","Losing You Only To Find You","https://archiveofourown.org/works/30258777","jisoos_stan","Teen And Up Audiences","F/F","2021-03-25","412","4","10"
"1637202041-300","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=20","Smoke and Mirrors","https://archiveofourown.org/works/21625411","Softiecat_Cupcake","Mature","F/F","2019-12-01","368","1","29"
"1637202083-304","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=20","Cute Bitch","https://archiveofourown.org/works/20475563","vampirawr","Teen And Up Audiences","F/F","2019-09-01","2491","3","91"
"1637204277-493","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=10","A Little Bit of Everything","https://archiveofourown.org/works/30445104","TopJennieEnthusiast","Mature","F/F","2021-04-03","504","null","6"
"1637205527-603","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=5","small joy","https://archiveofourown.org/works/33088729","Eira_ho","General Audiences","F/F","2021-08-07","522","2","40"
