web-scraper-order,web-scraper-start-url,title,title-href,author,rating,cat,pubdate,hits,comments,kudos
"1628473004-105","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=24","Say No","https://archiveofourown.org/works/17883785","chaeyounggie","General Audiences","F/F","2019-02-22","1397","10","52"
"1628473561-155","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=21","lose yourself with me","https://archiveofourown.org/works/19587949","kleine_waldfee","Explicit","F/F","2019-07-05","6480","7","203"
"1628477940-549","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=2","Drabbles (One Shot Collection)","https://archiveofourown.org/works/31191998","justmusings","General Audiences","F/F","2021-05-09","852","7","36"
"1628472941-99","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=24","Desire","https://archiveofourown.org/works/17235158","btsblinx_r_us","Not Rated","F/F","2018-12-31","1292","null","27"
"1628475930-368","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=11","마지막 (ØΜ€ǤΔ)","https://archiveofourown.org/works/21246563","My_Reign","Mature","M/M","2021-01-01","721","null","15"
"1628472624-71","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=26","i'm your home (you will come home)","https://archiveofourown.org/works/15994673","fxbricxtedrexlity","Teen And Up Audiences","F/F","2018-09-15","6715","34","564"
"1628474571-245","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=17","Kim Jisoo's Fried Microwave and the End of the World","https://archiveofourown.org/works/23459992","Dreamofshadows","General Audiences","F/F","2020-04-03","662","4","73"
"1628477623-520","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=3","HERO","https://archiveofourown.org/works/32487457","TheMissusM","Not Rated","F/F","2021-07-10","777","7","46"
"1628471856-1","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=29","Chaos Theory (BlackPink Ver.)","https://archiveofourown.org/works/7910992","homoyuri","General Audiences","F/F","2016-08-30","1483","null","13"
"1628477824-538","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=2","Take this heavy heart (my leather jacket too)","https://archiveofourown.org/works/32734216","lux393","Teen And Up Audiences","F/F","2021-07-22","728","22","71"
"1628476502-419","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=8","Apocalypse | Jenlisa and Chaesoo fanfic","https://archiveofourown.org/works/14088915","Annekoni","Mature","F/F","2018-03-25","2377","19","80"
"1628477740-531","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=3","Killing Jennie Kim","https://archiveofourown.org/works/28691394","soul_is_lonely","Mature","F/F","2021-01-11","2464","67","150"
"1628477792-535","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=2","i should have known what i wanted","https://archiveofourown.org/works/32115013","alianovnasx","General Audiences","F/F","2021-06-22","1430","8","73"
"1628476702-437","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=7","巴黎咖啡馆","https://archiveofourown.org/works/30588953","TseFangLee","Not Rated","F/F","2021-04-10","102","null","3"
"1628477803-536","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=2","Four Girls Against the World (and some other sh*t)","https://archiveofourown.org/works/28746714","ash_er_maine","Mature","F/F","2021-01-14","4953","106","151"
"1628472751-82","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=25","Operation: escape","https://archiveofourown.org/works/14281773","lostmy__Taehyung","Not Rated","F/F","2018-04-11","1008","4","25"
"1628474413-231","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=18","Asphyxia","https://archiveofourown.org/works/22907587","lesyeuxdenini","Mature","F/F","2020-02-26","2201","null","24"
"1628477210-483","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=5","切变线","https://archiveofourown.org/works/31668449","souMamihlapinatapai","General Audiences","F/F","2021-06-01","112","null","null"
"1628474077-200","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=19","leave her wild","https://archiveofourown.org/works/21658123","subtlesuccession","Not Rated","F/F","2019-12-03","1869","9","154"
"1628473477-148","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=22","In health and in sickness","https://archiveofourown.org/works/19307725","orphan_account","General Audiences","F/F","2019-06-21","1899","4","109"
"1628475014-285","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=15","it's me that changed","https://archiveofourown.org/works/25414225","fated_addiction","General Audiences","F/F","2020-07-21","1362","8","108"
"1628472478-57","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=26","karmic","https://archiveofourown.org/works/12180468","KatWritings","Teen And Up Audiences","F/F","2017-10-01","629","null","41"
"1628474561-244","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=17","Wherever that may be","https://archiveofourown.org/works/22836340","Effymaybe","Teen And Up Audiences","F/F","2020-02-21","5641","159","245"
"1628475593-337","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=12","feels like a dream","https://archiveofourown.org/works/27416131","lovebot05","Mature","F/F","2020-11-06","1140","14","43"
"1628475245-306","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=14","Venom in your Seoul","https://archiveofourown.org/works/26492671","slzzzpy","Explicit","F/F","2020-09-16","749","2","31"
"1628478143-567","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=1","small joy","https://archiveofourown.org/works/33088729","Eira_ho","General Audiences","F/F","2021-08-07","253","null","24"
"1628474909-275","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=15","没有窗户的房间","https://archiveofourown.org/works/24949426","HermioneHolic","Teen And Up Audiences","F/F","2020-06-27","675","null","8"
"1628476692-436","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=7","今天是继续爱你的第1328天","https://archiveofourown.org/works/30588875","TseFangLee","Not Rated","F/F","2021-04-10","93","null","3"
"1628476576-426","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=8","Five Times Rosé Sleep with Jisoo and The One time Rosé really does","https://archiveofourown.org/works/30330471","skull53","Mature","F/F","2021-03-29","1457","4","61"
"1628472836-90","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=25","You Whistle to My Heart","https://archiveofourown.org/works/14214300","renefuls","Teen And Up Audiences","Multi","2018-04-04","3089","11","76"
"1628472667-74","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=25","Pretty (Wo)man","https://archiveofourown.org/works/15433185","heartbeat (tinksyviv)","Mature","F/F","2018-07-25","1786","6","51"
"1628471877-3","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=29","JYP X YG ships 1","https://archiveofourown.org/works/9481445","daddy_jae","Not Rated","F/F","2017-01-27","118","null","2"
"1628474381-228","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=18","BLACKPINK Oneshots","https://archiveofourown.org/works/18543289","anothergirlinlove (ObsessedWithBands)","Mature","F/F","2019-04-21","23975","46","364"
"1628475329-313","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=13","'Cause your shine is somethin' like a mirror","https://archiveofourown.org/works/26722819","aelinx","Mature","F/F","2020-09-30","4639","2","156"
"1628476829-449","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=7","truth is","https://archiveofourown.org/works/30862040","EightMist","General Audiences","F/F","2021-04-23","334","15","25"
"1628477729-530","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=3","i'm different","https://archiveofourown.org/works/23067697","throwaway18","Teen And Up Audiences","F/F","2020-03-08","4862","72","224"
"1628474109-203","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=19","More than we planned","https://archiveofourown.org/works/21526144","Whisperingsuga","Mature","F/F","2019-11-22","826","3","25"
"1628475687-346","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=12","Heavenly and Held Forever","https://archiveofourown.org/works/25555051","changbinglish","Explicit","F/F","2020-07-27","1067","7","55"
"1628475255-307","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=14","Million Reasons","https://archiveofourown.org/works/26506633","rafolshoe","Not Rated","F/F","2020-09-17","732","5","26"
"1628472299-41","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=27","Hobby","https://archiveofourown.org/works/14200296","sseokjins","Teen And Up Audiences","F/F","2018-04-03","806","null","7"
"1628472162-29","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=28","Peccadillo","https://archiveofourown.org/works/12305931","LilyLisa","Teen And Up Audiences","F/F","2017-10-08","1141","13","71"
