web-scraper-order,web-scraper-start-url,Title,Title-href,pubdate,tags
"1628819672-1475","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=22","Sleepless in high school","https://archiveofourown.org/works/18147083","2019-03-17","Explicit Sexual Content"
"1628818713-794","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=26","Crying Lightning","https://archiveofourown.org/works/15642405","2018-08-10","Flirting"
"1628823677-4203","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=4","Stay With Me","https://archiveofourown.org/works/29636208","2021-02-22","Gay Kim Jisoo (BLACKPINK)"
"1628822584-3407","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=9","Eighteen","https://archiveofourown.org/works/29760018","2021-02-28","Alternate Universe - Childhood Friends"
"1628820756-2002","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=17","Kim Jisoo's Fried Microwave and the End of the World","https://archiveofourown.org/works/23459992","2020-04-03","Fluff and Humor"
"1628820556-1895","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=18","悪魔 (The Devil)","https://archiveofourown.org/works/15798294","2018-08-26","Rap Battles"
"1628819357-1296","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=23","Not Us, Not Me","https://archiveofourown.org/works/18124307","2019-03-16","Alternate Universe - College/University"
"1628818386-541","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=28","The Heavenly Scent of Coffee","https://archiveofourown.org/works/13586046","2018-02-10","Short One Shot"
"1628820556-1906","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=18","悪魔 (The Devil)","https://archiveofourown.org/works/15798294","2018-08-26","Fluff and Angst"
"1628823229-3843","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=6","The Elite 5","https://archiveofourown.org/works/31229456","2021-05-11","Bisexual Female Character"
"1628822256-3144","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=10","Snapshots of her Life","https://archiveofourown.org/works/24877636","2020-06-23","And Dreamcatcher members"
"1628821232-2304","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=15","SOMEONE","https://archiveofourown.org/works/25630921","2020-07-31",""
"1628824207-4623","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=1","No espero mucho, sólo quédate.","https://archiveofourown.org/works/32928205","2021-07-31","blackpink - Freeform"
"1628820556-1894","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=18","悪魔 (The Devil)","https://archiveofourown.org/works/15798294","2018-08-26","while the older ones are Cool and Untouchable"
"1628821749-2593","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=12","A Little Loud","https://archiveofourown.org/works/27503587","2020-11-11","Fluff without Plot"
"1628823229-3852","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=6","The Elite 5","https://archiveofourown.org/works/31229456","2021-05-11","Jisoo single mum"
"1628822118-3049","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=11","마지막 (ØΜ€ǤΔ)","https://archiveofourown.org/works/21246563","2021-01-01","Polyamory"
"1628822319-3178","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=10","because it's you","https://archiveofourown.org/works/28846764","2021-01-19","Cute"
"1628822700-3525","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=8","Fight","https://archiveofourown.org/works/30227463","2021-03-23","Cute"
"1628821085-2218","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=15","Lost In Your Light","https://archiveofourown.org/works/24939520","2020-06-27","i was prompted with ot4 blackpink firwowrks"
"1628820083-1686","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=20","Faded Daisies","https://archiveofourown.org/works/21062825","2019-10-17","Hanahaki Disease"
"1628819599-1430","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=22","let it all go","https://archiveofourown.org/works/19111228","2019-06-06","lapslock"
