fic_id,fic,Published,author,rating,category,ship,Ship2
443,We make it work,2017-04-18 00:00:00.0000000,screamingskz,General Audiences,F/F,Lalisa Manoban | Lisa,Park Chaeyoung | Rosé
443,We make it work,2017-04-18 00:00:00.0000000,screamingskz,General Audiences,F/F,Jennie Kim,Lalisa Manoban | Lisa
443,We make it work,2017-04-18 00:00:00.0000000,screamingskz,General Audiences,F/F,Kim Jisoo,Lalisa Manoban | Lisa
442,Mommy's Three Princesses,2017-05-09 00:00:00.0000000,babylolsi,Teen And Up Audiences,F/F,Kim Jisoo,Lalisa Manoban | Lisa
442,Mommy's Three Princesses,2017-05-09 00:00:00.0000000,babylolsi,Teen And Up Audiences,F/F,Jennie Kim,Lalisa Manoban | Lisa
442,Mommy's Three Princesses,2017-05-09 00:00:00.0000000,babylolsi,Teen And Up Audiences,F/F,Lalisa Manoban | Lisa,Park Chaeyoung | Rosé
442,Mommy's Three Princesses,2017-05-09 00:00:00.0000000,babylolsi,Teen And Up Audiences,F/F,Kim Jisoo,Park Chaeyoung | Rosé
442,Mommy's Three Princesses,2017-05-09 00:00:00.0000000,babylolsi,Teen And Up Audiences,F/F,Jennie Kim,Park Chaeyoung | Rosé
442,Mommy's Three Princesses,2017-05-09 00:00:00.0000000,babylolsi,Teen And Up Audiences,F/F,Jennie Kim,Kim Jisoo
441,A Worrisome Wedding,2017-05-16 00:00:00.0000000,anonymousloris,Teen And Up Audiences,null,Jennie Kim,Oh Sehun
441,A Worrisome Wedding,2017-05-16 00:00:00.0000000,anonymousloris,Teen And Up Audiences,null,Kim Jongin | Kai,Oh Sehun
441,A Worrisome Wedding,2017-05-16 00:00:00.0000000,anonymousloris,Teen And Up Audiences,null,Jennie Kim,Lalisa Manoban | Lisa
440,Without You,2017-05-20 00:00:00.0000000,personalitycult,Teen And Up Audiences,F/F,Lalisa Manoban | Lisa,Park Chaeyoung | Rosé
440,Without You,2017-05-20 00:00:00.0000000,personalitycult,Teen And Up Audiences,F/F,Jennie Kim,Lalisa Manoban | Lisa
439,it goes round and round,2017-05-27 00:00:00.0000000,starstarstar,General Audiences,F/F,Jennie Kim,Lalisa Manoban | Lisa
438,Just a Game,2017-05-28 00:00:00.0000000,LilyLisa,Teen And Up Audiences,F/F,Jimin,Junhoe
438,Just a Game,2017-05-28 00:00:00.0000000,LilyLisa,Teen And Up Audiences,F/F,Jennie Kim,Bobby
438,Just a Game,2017-05-28 00:00:00.0000000,LilyLisa,Teen And Up Audiences,F/F,Jennie Kim,Lalisa Manoban | Lisa
437,"Insta-fame, Insta-love",2017-06-05 00:00:00.0000000,DestinedForTheBurger,Teen And Up Audiences,F/F,Lisa Manoban,Jennie Kim
436,There for You,2017-06-06 00:00:00.0000000,SunSkip,Mature,F/F,Jennie Kim,Lalisa Manoban | Lisa
435,Fuzzies,2017-06-10 00:00:00.0000000,TaeKookiefeels,Explicit,F/F,Jennie Kim,Lalisa Manoban | Lisa
434,Teufelspakt,2017-07-08 00:00:00.0000000,jisoopremacist,Teen And Up Audiences,F/F,Lalisa Manoban | Lisa,Park Chaeyoung | Rosé
434,Teufelspakt,2017-07-08 00:00:00.0000000,jisoopremacist,Teen And Up Audiences,F/F,Kim Jisoo,Park Chaeyoung | Rosé
434,Teufelspakt,2017-07-08 00:00:00.0000000,jisoopremacist,Teen And Up Audiences,F/F,Jennie Kim,Lalisa Manoban | Lisa
433,Raspberry Swirl,2017-07-13 00:00:00.0000000,rendawnie,Teen And Up Audiences,F/F,Jennie Kim,Lalisa Manoban | Lisa
432,Summer,2017-07-19 00:00:00.0000000,SunSkip,Mature,F/F,Jennie Kim,Lalisa Manoban | Lisa
431,"baby, don't go.",2017-08-08 00:00:00.0000000,h2owon,Teen And Up Audiences,F/F,Jennie Kim,Lalisa Manoban | Lisa
430,Gravity,2017-08-26 00:00:00.0000000,SunSkip,Teen And Up Audiences,F/F,Lalisa Manoban | Lisa,Park Chaeyoung | Rosé
430,Gravity,2017-08-26 00:00:00.0000000,SunSkip,Teen And Up Audiences,F/F,Jennie Kim,Lalisa Manoban | Lisa
429,super far,2017-08-31 00:00:00.0000000,jj4eva,Mature,F/F,Jennie Kim,Kim Jisoo
429,super far,2017-08-31 00:00:00.0000000,jj4eva,Mature,F/F,Jennie Kim,Lalisa Manoban | Lisa
428,onsra,2017-09-04 00:00:00.0000000,sohmins,Not Rated,F/F,Jennie Kim,Lalisa Manoban | Lisa
427,What Is Love,2017-09-09 00:00:00.0000000,SunSkip,Mature,F/F,Jennie Kim,Lalisa Manoban | Lisa
427,What Is Love,2017-09-09 00:00:00.0000000,SunSkip,Mature,F/F,Kim Jisoo,Lalisa Manoban | Lisa
427,What Is Love,2017-09-09 00:00:00.0000000,SunSkip,Mature,F/F,Jennie Kim,Kim Jisoo
426,karmic,2017-10-01 00:00:00.0000000,KatWritings,Teen And Up Audiences,F/F,Jeon Jungkook,Kim Taehyung | V
426,karmic,2017-10-01 00:00:00.0000000,KatWritings,Teen And Up Audiences,F/F,Min Yoongi | Suga,Park Jimin
426,karmic,2017-10-01 00:00:00.0000000,KatWritings,Teen And Up Audiences,F/F,Kim Namjoon | Rap Monster,Kim Seokjin | Jin
